Car_label,original_label,BD_Label,Name_label,,,SUV = 8,Convertible = 1,Sedan = 6,Wagon = 10,Hatchback = 3,Sports Car = 7,Coupe = 2,Minivan = 4,Pickup = 5,Van = 9,,,,,Coupe,,Coupe
Dodge Sprinter Cargo Van 2009,88,Van,9,,,,,,,,,,,,,,,,,Van,,Van
Dodge Journey SUV 2012,89,SUV,8,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Dodge Dakota Crew Cab 2010,90,Pickup,5,,,,,,,,,,,,,,,,,Sedan,,Sedan
Dodge Dakota Club Cab 2007,91,Pickup,5,,,,,,,,,,,,,,,,,Sedan,,Sedan
Dodge Magnum Wagon 2008,92,Wagon,10,,,,,,,,,,,,,,,,,Pickup,,Pickup
Dodge Challenger SRT8 2011,93,Sports Car,7,,,,,,,,,,,,,,,,,SUV,,SUV
Dodge Durango SUV 2012,94,SUV,8,,,,,,,,,,,,,,,,,Sedan,,Sedan
Dodge Durango SUV 2007,95,SUV,8,,,,,,,,,,,,,,,,,SUV,,SUV
Dodge Charger Sedan 2012,96,Sedan,6,,,,,,,,,,,,,,,,,Van,,Van
Dodge Charger SRT-8 2009,97,Sports Car,7,,,,,,,,,,,,,,,,,SUV,,SUV
Eagle Talon Hatchback 1998,98,Hatchback,3,,,,,,,,,,,,,,,,,Coupe,,Coupe
FIAT 500 Abarth 2012,99,Hatchback,3,,,,,,,,,,,,,,,,,Coupe,,Coupe
FIAT 500 Convertible 2012,100,Convertible,1,,,,,,,,,,,,,,,,,Sedan,,Sedan
Ferrari FF Coupe 2012,101,Coupe,2,,,,,,,,,,,,,,,,,SUV,,SUV
Ferrari California Convertible 2012,102,Convertible,1,,,,,,,,,,,,,,,,,Van,,Van
Ferrari 458 Italia Convertible 2012,103,Convertible,1,,,,,,,,,,,,,,,,,SUV,,SUV
Ferrari 458 Italia Coupe 2012,104,Coupe,2,,,,,,,,,,,,,,,,,Coupe,,Coupe
Fisker Karma Sedan 2012,105,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Ford F-450 Super Duty Crew Cab 2012,106,Pickup,5,,,,,,,,,,,,,,,,,SUV,,SUV
Ford Mustang Convertible 2007,107,Convertible,1,,,,,,,,,,,,,,,,,SUV,,SUV
Ford Freestar Minivan 2007,108,Minivan,4,,,,,,,,,,,,,,,,,Coupe,,Coupe
Ford Expedition EL SUV 2009,109,SUV,8,,,,,,,,,,,,,,,,,Coupe,,Coupe
Ford Edge SUV 2012,110,SUV,8,,,,,,,,,,,,,,,,,Pickup,,Pickup
Ford Ranger SuperCab 2011,111,Pickup,5,,,,,,,,,,,,,,,,,Sedan,,Sedan
Ford GT Coupe 2006,112,Coupe,2,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Ford F-150 Regular Cab 2012,113,Pickup,5,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Ford F-150 Regular Cab 2007,114,Pickup,5,,,,,,,,,,,,,,,,,Coupe,,Coupe
Ford Focus Sedan 2007,115,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Ford E-Series Wagon Van 2012,116,Van,9,,,,,,,,,,,,,,,,,SUV,,SUV
Ford Fiesta Sedan 2012,117,Sedan,6,,,,,,,,,,,,,,,,,Coupe,,Coupe
GMC Terrain SUV 2012,118,SUV,8,,,,,,,,,,,,,,,,,SUV,,SUV
GMC Savana Van 2012,119,Van,9,,,,,,,,,,,,,,,,,Sedan,,Sedan
GMC Yukon Hybrid SUV 2012,120,SUV,8,,,,,,,,,,,,,,,,,SUV,,SUV
GMC Acadia SUV 2012,121,SUV,8,,,,,,,,,,,,,,,,,Pickup,,Pickup
GMC Canyon Extended Cab 2012,122,Pickup,5,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Geo Metro Convertible 1993,123,Convertible,1,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
HUMMER H3T Crew Cab 2010,124,Pickup,5,,,,,,,,,,,,,,,,,Sedan,,Sedan
HUMMER H2 SUT Crew Cab 2009,125,Pickup,5,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Honda Odyssey Minivan 2012,126,Minivan,4,,,,,,,,,,,,,,,,,Sedan,,Sedan
Honda Odyssey Minivan 2007,127,Minivan,4,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Honda Accord Coupe 2012,128,Coupe,2,,,,,,,,,,,,,,,,,SUV,,SUV
Honda Accord Sedan 2012,129,Sedan,6,,,,,,,,,,,,,,,,,Van,,Van
Hyundai Veloster Hatchback 2012,130,Hatchback,3,,,,,,,,,,,,,,,,,Sedan,,Sedan
Hyundai Santa Fe SUV 2012,131,SUV,8,,,,,,,,,,,,,,,,,Coupe,,Coupe
Hyundai Tucson SUV 2012,132,SUV,8,,,,,,,,,,,,,,,,,SUV,,SUV
Hyundai Veracruz SUV 2012,133,SUV,8,,,,,,,,,,,,,,,,,Sedan,,Sedan
Hyundai Sonata Hybrid Sedan 2012,134,Sedan,6,,,,,,,,,,,,,,,,,Pickup,,Pickup
Hyundai Elantra Sedan 2007,135,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Hyundai Accent Sedan 2012,136,Sedan,6,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Hyundai Genesis Sedan 2012,137,Sedan,6,,,,,,,,,,,,,,,,,SUV,,SUV
Hyundai Sonata Sedan 2012,138,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Hyundai Elantra Touring Hatchback 2012,139,Hatchback,3,,,,,,,,,,,,,,,,,Sedan,,Sedan
Hyundai Azera Sedan 2012,140,Sedan,6,,,,,,,,,,,,,,,,,Coupe,,Coupe
Infiniti G Coupe IPL 2012,141,Coupe,2,,,,,,,,,,,,,,,,,Sedan,,Sedan
Infiniti QX56 SUV 2011,142,SUV,8,,,,,,,,,,,,,,,,,Sedan,,Sedan
Isuzu Ascender SUV 2008,143,SUV,8,,,,,,,,,,,,,,,,,SUV,,SUV
Jaguar XK XKR 2012,144,Coupe,2,,,,,,,,,,,,,,,,,SUV,,SUV
Jeep Patriot SUV 2012,145,SUV,8,,,,,,,,,,,,,,,,,Sedan,,Sedan
Jeep Wrangler SUV 2012,146,SUV,8,,,,,,,,,,,,,,,,,Sedan,,Sedan
Jeep Liberty SUV 2012,147,SUV,8,,,,,,,,,,,,,,,,,Van,,Van
Jeep Grand Cherokee SUV 2012,148,SUV,8,,,,,,,,,,,,,,,,,Van,,Van
Jeep Compass SUV 2012,149,SUV,8,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Lamborghini Reventon Coupe 2008,150,Coupe,2,,,,,,,,,,,,,,,,,Coupe,,Coupe
Lamborghini Aventador Coupe 2012,151,Coupe,2,,,,,,,,,,,,,,,,,SUV,,SUV
Lamborghini Gallardo LP 570-4 Superleggera 2012,152,Sports Car,7,,,,,,,,,,,,,,,,,Pickup,,Pickup
Lamborghini Diablo Coupe 2001,153,Coupe,2,,,,,,,,,,,,,,,,,Van,,Van
Land Rover Range Rover SUV 2012,154,SUV,8,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Land Rover LR2 SUV 2012,155,SUV,8,,,,,,,,,,,,,,,,,SUV,,SUV
Lincoln Town Car Sedan 2011,156,Sedan,6,,,,,,,,,,,,,,,,,Pickup,,Pickup
MINI Cooper Roadster Convertible 2012,157,Convertible,1,,,,,,,,,,,,,,,,,SUV,,SUV
Maybach Landaulet Convertible 2012,158,Convertible,1,,,,,,,,,,,,,,,,,SUV,,SUV
Mazda Tribute SUV 2011,159,SUV,8,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
McLaren MP4-12C Coupe 2012,160,Coupe,2,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Mercedes-Benz 300-Class Convertible 1993,161,Convertible,1,,,,,,,,,,,,,,,,,SUV,,SUV
Mercedes-Benz C-Class Sedan 2012,162,Sedan,6,,,,,,,,,,,,,,,,,Pickup,,Pickup
Mercedes-Benz SL-Class Coupe 2009,163,Coupe,2,,,,,,,,,,,,,,,,,Coupe,,Coupe
Mercedes-Benz E-Class Sedan 2012,164,Sedan,6,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Mercedes-Benz S-Class Sedan 2012,165,Sedan,6,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Mercedes-Benz Sprinter Van 2012,166,Van,9,,,,,,,,,,,,,,,,,SUV,,SUV
Mitsubishi Lancer Sedan 2012,167,Sedan,6,,,,,,,,,,,,,,,,,SUV,,SUV
Nissan Leaf Hatchback 2012,168,Hatchback,3,,,,,,,,,,,,,,,,,SUV,,SUV
Nissan NV Passenger Van 2012,169,Van,9,,,,,,,,,,,,,,,,,Sedan,,Sedan
Nissan Juke Hatchback 2012,170,Hatchback,3,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Nissan 240SX Coupe 1998,171,Coupe,2,,,,,,,,,,,,,,,,,SUV,,SUV
Plymouth Neon Coupe 1999,172,Coupe,2,,,,,,,,,,,,,,,,,Coupe,,Coupe
Porsche Panamera Sedan 2012,173,Sedan,6,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Ram C/V Cargo Van Minivan 2012,174,Minivan,4,,,,,,,,,,,,,,,,,Sedan,,Sedan
Rolls-Royce Phantom Drophead Coupe Convertible 2012,175,Convertible,1,,,,,,,,,,,,,,,,,Pickup,,Pickup
Rolls-Royce Ghost Sedan 2012,176,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Rolls-Royce Phantom Sedan 2012,177,Sedan,6,,,,,,,,,,,,,,,,,Coupe,,Coupe
Scion xD Hatchback 2012,178,Hatchback,3,,,,,,,,,,,,,,,,,Sedan,,Sedan
Spyker C8 Convertible 2009,179,Convertible,1,,,,,,,,,,,,,,,,,Coupe,,Coupe
Spyker C8 Coupe 2009,180,Coupe,2,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
Suzuki Aerio Sedan 2007,181,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Suzuki Kizashi Sedan 2012,182,Sedan,6,,,,,,,,,,,,,,,,,Sedan,,Sedan
Suzuki SX4 Hatchback 2012,183,Hatchback,3,,,,,,,,,,,,,,,,,Sedan,,Sedan
Suzuki SX4 Sedan 2012,184,Sedan,6,,,,,,,,,,,,,,,,,Coupe,,Coupe
Tesla Model S Sedan 2012,185,Sedan,6,,,,,,,,,,,,,,,,,SUV,,SUV
Toyota Sequoia SUV 2012,186,SUV,8,,,,,,,,,,,,,,,,,Pickup,,Pickup
Toyota Camry Sedan 2012,187,Sedan,6,,,,,,,,,,,,,,,,,Coupe,,Coupe
Toyota Corolla Sedan 2012,188,Sedan,6,,,,,,,,,,,,,,,,,Van,,Van
Toyota 4Runner SUV 2012,189,SUV,8,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
Volkswagen Golf Hatchback 2012,190,Hatchback,3,,,,,,,,,,,,,,,,,Van,,Van
Volkswagen Golf Hatchback 1991,191,Hatchback,3,,,,,,,,,,,,,,,,,SUV,,SUV
Volkswagen Beetle Hatchback 2012,192,Hatchback,3,,,,,,,,,,,,,,,,,Pickup,,Pickup
Volvo C30 Hatchback 2012,193,Hatchback,3,,,,,,,,,,,,,,,,,Sedan,,Sedan
Volvo 240 Sedan 1993,194,Sedan,6,,,,,,,,,,,,,,,,,Coupe,,Coupe
Volvo XC90 SUV 2007,195,SUV,8,,,,,,,,,,,,,,,,,Sedan,,Sedan
smart fortwo Convertible 2012,196,Convertible,1,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Van,,Van
