Car_label,original_label,BD_Label,Name_label,,,SUV = 8,Convertible = 1,Sedan = 6,Wagon = 10,Hatchback = 3,Sports Car = 7,Coupe = 2,Minivan = 4,Pickup = 5,Van = 9
Ford Expedition EL SUV 2009,109,SUV,8,,,,,,,,,,,,
Ford Edge SUV 2012,110,SUV,8,,,,,,,,,,,,
Ford Ranger SuperCab 2011,111,Pickup,5,,,,,,,,,,,,
Ford GT Coupe 2006,112,Coupe,2,,,,,,,,,,,,
Ford F-150 Regular Cab 2012,113,Pickup,5,,,,,,,,,,,,
Ford F-150 Regular Cab 2007,114,Pickup,5,,,,,,,,,,,,
Ford Focus Sedan 2007,115,Sedan,6,,,,,,,,,,,,
Ford E-Series Wagon Van 2012,116,Van,9,,,,,,,,,,,,
Ford Fiesta Sedan 2012,117,Sedan,6,,,,,,,,,,,,
GMC Terrain SUV 2012,118,SUV,8,,,,,,,,,,,,
GMC Savana Van 2012,119,Van,9,,,,,,,,,,,,
GMC Yukon Hybrid SUV 2012,120,SUV,8,,,,,,,,,,,,
GMC Acadia SUV 2012,121,SUV,8,,,,,,,,,,,,
GMC Canyon Extended Cab 2012,122,Pickup,5,,,,,,,,,,,,
Geo Metro Convertible 1993,123,Convertible,1,,,,,,,,,,,,
HUMMER H3T Crew Cab 2010,124,Pickup,5,,,,,,,,,,,,
HUMMER H2 SUT Crew Cab 2009,125,Pickup,5,,,,,,,,,,,,
Honda Odyssey Minivan 2012,126,Minivan,4,,,,,,,,,,,,
Honda Odyssey Minivan 2007,127,Minivan,4,,,,,,,,,,,,
Honda Accord Coupe 2012,128,Coupe,2,,,,,,,,,,,,
Honda Accord Sedan 2012,129,Sedan,6,,,,,,,,,,,,
Hyundai Veloster Hatchback 2012,130,Hatchback,3,,,,,,,,,,,,
Hyundai Santa Fe SUV 2012,131,SUV,8,,,,,,,,,,,,
Hyundai Tucson SUV 2012,132,SUV,8,,,,,,,,,,,,
Hyundai Veracruz SUV 2012,133,SUV,8,,,,,,,,,,,,
Hyundai Sonata Hybrid Sedan 2012,134,Sedan,6,,,,,,,,,,,,
Hyundai Elantra Sedan 2007,135,Sedan,6,,,,,,,,,,,,
Hyundai Accent Sedan 2012,136,Sedan,6,,,,,,,,,,,,
Hyundai Genesis Sedan 2012,137,Sedan,6,,,,,,,,,,,,
Hyundai Sonata Sedan 2012,138,Sedan,6,,,,,,,,,,,,
Hyundai Elantra Touring Hatchback 2012,139,Hatchback,3,,,,,,,,,,,,
Hyundai Azera Sedan 2012,140,Sedan,6,,,,,,,,,,,,
Infiniti G Coupe IPL 2012,141,Coupe,2,,,,,,,,,,,,
Infiniti QX56 SUV 2011,142,SUV,8,,,,,,,,,,,,
Isuzu Ascender SUV 2008,143,SUV,8,,,,,,,,,,,,
Jaguar XK XKR 2012,144,Coupe,2,,,,,,,,,,,,
Jeep Patriot SUV 2012,145,SUV,8,,,,,,,,,,,,
Jeep Wrangler SUV 2012,146,SUV,8,,,,,,,,,,,,
Jeep Liberty SUV 2012,147,SUV,8,,,,,,,,,,,,
Jeep Grand Cherokee SUV 2012,148,SUV,8,,,,,,,,,,,,
Jeep Compass SUV 2012,149,SUV,8,,,,,,,,,,,,
Lamborghini Reventon Coupe 2008,150,Coupe,2,,,,,,,,,,,,
Lamborghini Aventador Coupe 2012,151,Coupe,2,,,,,,,,,,,,
Lamborghini Gallardo LP 570-4 Superleggera 2012,152,Sports Car,7,,,,,,,,,,,,
Lamborghini Diablo Coupe 2001,153,Coupe,2,,,,,,,,,,,,
Land Rover Range Rover SUV 2012,154,SUV,8,,,,,,,,,,,,
Land Rover LR2 SUV 2012,155,SUV,8,,,,,,,,,,,,
Lincoln Town Car Sedan 2011,156,Sedan,6,,,,,,,,,,,,
MINI Cooper Roadster Convertible 2012,157,Convertible,1,,,,,,,,,,,,
Maybach Landaulet Convertible 2012,158,Convertible,1,,,,,,,,,,,,
Mazda Tribute SUV 2011,159,SUV,8,,,,,,,,,,,,
McLaren MP4-12C Coupe 2012,160,Coupe,2,,,,,,,,,,,,
Mercedes-Benz 300-Class Convertible 1993,161,Convertible,1,,,,,,,,,,,,
Mercedes-Benz C-Class Sedan 2012,162,Sedan,6,,,,,,,,,,,,
Mercedes-Benz SL-Class Coupe 2009,163,Coupe,2,,,,,,,,,,,,
Mercedes-Benz E-Class Sedan 2012,164,Sedan,6,,,,,,,,,,,,
Mercedes-Benz S-Class Sedan 2012,165,Sedan,6,,,,,,,,,,,,
Mercedes-Benz Sprinter Van 2012,166,Van,9,,,,,,,,,,,,
Mitsubishi Lancer Sedan 2012,167,Sedan,6,,,,,,,,,,,,
Nissan Leaf Hatchback 2012,168,Hatchback,3,,,,,,,,,,,,
Nissan NV Passenger Van 2012,169,Van,9,,,,,,,,,,,,
Nissan Juke Hatchback 2012,170,Hatchback,3,,,,,,,,,,,,
Nissan 240SX Coupe 1998,171,Coupe,2,,,,,,,,,,,,
Plymouth Neon Coupe 1999,172,Coupe,2,,,,,,,,,,,,
Porsche Panamera Sedan 2012,173,Sedan,6,,,,,,,,,,,,
Ram C/V Cargo Van Minivan 2012,174,Minivan,4,,,,,,,,,,,,
Rolls-Royce Phantom Drophead Coupe Convertible 2012,175,Convertible,1,,,,,,,,,,,,
Rolls-Royce Ghost Sedan 2012,176,Sedan,6,,,,,,,,,,,,
Rolls-Royce Phantom Sedan 2012,177,Sedan,6,,,,,,,,,,,,
Scion xD Hatchback 2012,178,Hatchback,3,,,,,,,,,,,,
Spyker C8 Convertible 2009,179,Convertible,1,,,,,,,,,,,,
Spyker C8 Coupe 2009,180,Coupe,2,,,,,,,,,,,,
Suzuki Aerio Sedan 2007,181,Sedan,6,,,,,,,,,,,,
Suzuki Kizashi Sedan 2012,182,Sedan,6,,,,,,,,,,,,
Suzuki SX4 Hatchback 2012,183,Hatchback,3,,,,,,,,,,,,
Suzuki SX4 Sedan 2012,184,Sedan,6,,,,,,,,,,,,
Tesla Model S Sedan 2012,185,Sedan,6,,,,,,,,,,,,
Toyota Sequoia SUV 2012,186,SUV,8,,,,,,,,,,,,
Toyota Camry Sedan 2012,187,Sedan,6,,,,,,,,,,,,
Toyota Corolla Sedan 2012,188,Sedan,6,,,,,,,,,,,,
Toyota 4Runner SUV 2012,189,SUV,8,,,,,,,,,,,,
Volkswagen Golf Hatchback 2012,190,Hatchback,3,,,,,,,,,,,,
Volkswagen Golf Hatchback 1991,191,Hatchback,3,,,,,,,,,,,,
Volkswagen Beetle Hatchback 2012,192,Hatchback,3,,,,,,,,,,,,
Volvo C30 Hatchback 2012,193,Hatchback,3,,,,,,,,,,,,
Volvo 240 Sedan 1993,194,Sedan,6,,,,,,,,,,,,
Volvo XC90 SUV 2007,195,SUV,8,,,,,,,,,,,,
smart fortwo Convertible 2012,196,Convertible,1,,,,,,,,,,,,
